,0,1,2,3,4,5,6,7,8,9
627,"(321.66803, 85.64431)","(321.6719, 85.646996)","(321.67245, 85.65335)","(321.6767, 85.65594)","(321.67224, 85.65933)","(321.67386, 85.66082)","(321.67, 85.65815)","(321.67267, 85.660446)","(321.6715, 85.66368)","(321.6706, 85.665276)"
628,"(216.50778, 383.9157)","(216.51749, 383.86572)","(216.5328, 383.81546)","(216.54834, 383.7734)","(216.59215, 383.71405)","(216.63145, 383.6594)","(216.66017, 383.60626)","(216.70026, 383.5502)","(216.69818, 383.5557)","(216.69566, 383.55328)"
629,"(77.73261, 665.04626)","(77.74998, 665.0192)","(77.762215, 664.996)","(77.77636, 664.96356)","(77.79609, 664.95184)","(77.81722, 664.93866)","(77.83845, 664.9247)","(77.86683, 664.909)","(77.86026, 664.89014)","(77.86663, 664.8685)"
630,"(1020.5562, 667.34607)","(1020.4773, 667.35297)","(1020.3988, 667.35376)","(1020.31384, 667.3567)","(1020.2425, 667.3679)","(1020.1612, 667.37976)","(1020.07776, 667.3865)","(1019.9852, 667.4014)","(1020.01746, 667.30145)","(1020.03503, 667.1987)"
631,"(1157.9498, 415.24768)","(1157.8872, 415.24945)","(1157.8268, 415.2557)","(1157.7344, 415.24985)","(1157.707, 415.23843)","(1157.6405, 415.2352)","(1157.5846, 415.2283)","(1157.5026, 415.23053)","(1157.4318, 415.23734)","(1157.3406, 415.2355)"
632,"(1006.2861, 622.595)","(1006.28955, 622.5619)","(1006.29224, 622.5271)","(1006.2998, 622.50366)","(1006.2897, 622.50226)","(1006.2779, 622.5072)","(1006.2627, 622.51184)","(1006.25226, 622.5142)","(1006.24915, 622.49615)","(1006.249, 622.4803)"
633,"(802.72986, 420.29004)","(802.7354, 420.28336)","(802.75653, 420.27792)","(802.75793, 420.27255)","(802.75995, 420.2732)","(802.7582, 420.27267)","(802.75867, 420.2726)","(802.7584, 420.27264)","(802.7603, 420.27344)","(802.2675, 421.28735)"
634,"(676.3121, 511.28992)","(676.31104, 511.29187)","(676.311, 511.29407)","(676.3106, 511.29648)","(676.3105, 511.29602)","(676.31024, 511.29565)","(676.3105, 511.29532)","(676.31085, 511.29578)","(676.261, 511.35175)","(676.21533, 511.39273)"
635,"(670.255, 542.73975)","(670.2514, 542.7284)","(670.2461, 542.7126)","(670.243, 542.699)","(670.2448, 542.7034)","(670.2461, 542.7054)","(670.2465, 542.70807)","(670.2485, 542.70795)","(670.2484, 542.70874)","(670.2497, 542.7068)"
636,"(662.7848, 81.528336)","(662.78217, 81.5441)","(662.78125, 81.54805)","(662.7762, 81.56531)","(662.7735, 81.55917)","(662.7789, 81.55264)","(662.7817, 81.54868)","(662.7873, 81.539604)","(662.788, 81.548035)","(662.7907, 81.5558)"
